email_address,first_name,last_name,course_id,grades,marks
aaron.perkins477@university.edu,Aaron,Perkins,CS108,F,54
adam.pauley241@university.edu,Adam,Pauley,CS102,F,43
adele.bobo243@university.edu,Adele,Bobo,CS104,F,31
alan.fraser101@university.edu,Alan,Fraser,CS102,C,73
alice.bradley646@university.edu,Alice,Bradley,CS107,F,30
alice.welch537@university.edu,Alice,Welch,CS108,F,36
alisa.galvez840@university.edu,Alisa,Galvez,CS101,B,84
alison.patterson813@university.edu,Alison,Patterson,CS104,A,95
allen.binder733@university.edu,Allen,Binder,CS104,A,93
alvin.crespino977@university.edu,Alvin,Crespino,CS108,F,58
amanda.davis691@university.edu,Amanda,Davis,CS102,F,13
amanda.ellison533@university.edu,Amanda,Ellison,CS104,F,52
amanda.leblond244@university.edu,Amanda,Leblond,CS105,D,63
amber.lopez908@university.edu,Amber,Lopez,CS109,D,69
amber.richardson@csu.edu,Amber,Richardson,DATA202,B,87
amelia.mills463@university.edu,Amelia,Mills,CS104,D,66
amy.galarza116@university.edu,Amy,Galarza,CS107,F,3
amy.gouge12@university.edu,Amy,Gouge,CS103,A,100
amy.hall82@university.edu,Amy,Hall,CS103,F,41
amy.mueller734@university.edu,Amy,Mueller,CS105,F,32
amy.seneker514@university.edu,Amy,Seneker,CS105,C,70
ana.hopkins532@university.edu,Ana,Hopkins,CS103,A,91
ana.simpson328@university.edu,Ana,Simpson,CS109,F,49
andre.bailey834@university.edu,Andre,Bailey,CS105,D,67
andrea.bernard86@university.edu,Andrea,Bernard,CS107,F,47
andrea.dawson355@university.edu,Andrea,Dawson,CS106,F,53
andrew.barnett836@university.edu,Andrew,Barnett,CS107,D,69
andrew.cooksey832@university.edu,Andrew,Cooksey,CS103,F,41
andrew.faulkner749@university.edu,Andrew,Faulkner,CS110,F,14
andrew.morin20@university.edu,Andrew,Morin,CS101,B,87
andrew.rice469@university.edu,Andrew,Rice,CS110,D,62
andrew.sosa389@university.edu,Andrew,Sosa,CS110,D,60
andy.gaffney752@university.edu,Andy,Gaffney,CS103,C,78
angel.freeman266@university.edu,Angel,Freeman,CS107,F,38
angel.treinen251@university.edu,Angel,Treinen,CS102,C,74
